구코드,구이름,인구,년도
11010,종로구,164257,2017
11010,종로구,163026,2018
11010,종로구,161869,2019
11010,종로구,158996,2020
11010,종로구,153789,2021
11010,종로구,152211,2022
11010,종로구,150453,2023
11020,중구,134593,2017
11020,중구,135633,2018
11020,중구,136488,2019
11020,중구,134635,2020
11020,중구,131787,2021
11020,중구,130785,2022
11020,중구,131793,2023
11030,용산구,244444,2017
11030,용산구,245090,2018
11030,용산구,245185,2019
11030,용산구,244645,2020
11030,용산구,237285,2021
11030,용산구,233284,2022
11030,용산구,227106,2023
11040,성동구,312711,2017
11040,성동구,316463,2018
11040,성동구,308979,2019
11040,성동구,300505,2020
11040,성동구,292672,2021
11040,성동구,288234,2022
11040,성동구,284766,2023
11050,광진구,372298,2017
11050,광진구,371063,2018
11050,광진구,366972,2019
11050,광진구,360109,2020
11050,광진구,352627,2021
11050,광진구,351252,2022
11050,광진구,351180,2023
11060,동대문구,366011,2017
11060,동대문구,364338,2018
11060,동대문구,363023,2019
11060,동대문구,357014,2020
11060,동대문구,352006,2021
11060,동대문구,353601,2022
11060,동대문구,359873,2023
11070,중랑구,412780,2017
11070,중랑구,408147,2018
11070,중랑구,402024,2019
11070,중랑구,399562,2020
11070,중랑구,391885,2021
11070,중랑구,390140,2022
11070,중랑구,387470,2023
11080,성북구,455407,2017
11080,성북구,447687,2018
11080,성북구,454744,2019
11080,성북구,447056,2020
11080,성북구,440142,2021
11080,성북구,441984,2022
11080,성북구,438168,2023
11090,강북구,328002,2017
11090,강북구,322915,2018
11090,강북구,317695,2019
11090,강북구,311569,2020
11090,강북구,302563,2021
11090,강북구,297702,2022
11090,강북구,292977,2023
11100,도봉구,346234,2017
11100,도봉구,341649,2018
11100,도봉구,335631,2019
11100,도봉구,327361,2020
11100,도봉구,319373,2021
11100,도봉구,313989,2022
11100,도봉구,309494,2023
11110,노원구,558075,2017
11110,노원구,548160,2018
11110,노원구,537303,2019
11110,노원구,527032,2020
11110,노원구,514946,2021
11110,노원구,508014,2022
11110,노원구,502925,2023
11120,은평구,491202,2017
11120,은평구,487666,2018
11120,은평구,484546,2019
11120,은평구,484043,2020
11120,은평구,477173,2021
11120,은평구,470602,2022
11120,은평구,470869,2023
11130,서대문구,325028,2017
11130,서대문구,323080,2018
11130,서대문구,323171,2019
11130,서대문구,322952,2020
11130,서대문구,315659,2021
11130,서대문구,319554,2022
11130,서대문구,320629,2023
11140,마포구,385783,2017
11140,마포구,386359,2018
11140,마포구,385925,2019
11140,마포구,381858,2020
11140,마포구,378686,2021
11140,마포구,375585,2022
11140,마포구,375162,2023
11150,양천구,475018,2017
11150,양천구,468145,2018
11150,양천구,462285,2019
11150,양천구,457781,2020
11150,양천구,450487,2021
11150,양천구,444010,2022
11150,양천구,439252,2023
11160,강서구,608255,2017
11160,강서구,603611,2018
11160,강서구,598273,2019
11160,강서구,585901,2020
11160,강서구,579768,2021
11160,강서구,574638,2022
11160,강서구,568826,2023
11170,구로구,441559,2017
11170,구로구,438486,2018
11170,구로구,439371,2019
11170,구로구,432488,2020
11170,구로구,421163,2021
11170,구로구,418418,2022
11170,구로구,415651,2023
11180,금천구,253491,2017
11180,금천구,254021,2018
11180,금천구,251820,2019
11180,금천구,247835,2020
11180,금천구,244891,2021
11180,금천구,242818,2022
11180,금천구,241105,2023
11190,영등포구,402024,2017
11190,영등포구,403600,2018
11190,영등포구,400986,2019
11190,영등포구,407367,2020
11190,영등포구,400908,2021
11190,영등포구,398085,2022
11190,영등포구,397800,2023
11200,동작구,408493,2017
11200,동작구,409385,2018
11200,동작구,408912,2019
11200,동작구,401572,2020
11200,동작구,394364,2021
11200,동작구,390432,2022
11200,동작구,389714,2023
11210,관악구,520929,2017
11210,관악구,520040,2018
11210,관악구,517334,2019
11210,관악구,509803,2020
11210,관악구,499449,2021
11210,관악구,501226,2022
11210,관악구,497883,2023
11220,서초구,445401,2017
11220,서초구,438163,2018
11220,서초구,435107,2019
11220,서초구,429025,2020
11220,서초구,416167,2021
11220,서초구,408451,2022
11220,서초구,412078,2023
11230,강남구,561052,2017
11230,강남구,547453,2018
11230,강남구,550209,2019
11230,강남구,544055,2020
11230,강남구,537800,2021
11230,강남구,534103,2022
11230,강남구,550282,2023
11240,송파구,671173,2017
11240,송파구,673507,2018
11240,송파구,682741,2019
11240,송파구,673926,2020
11240,송파구,663965,2021
11240,송파구,664514,2022
11240,송파구,660025,2023
11250,강동구,440359,2017
11250,강동구,431920,2018
11250,강동구,440390,2019
11250,강동구,463998,2020
11250,강동구,466472,2021
11250,강동구,464037,2022
11250,강동구,463318,2023
